39,1,3,1,0,2,1,2,0,1,0,3,3,3,3,0,2,1,1,2,2,1,1,1,0,1,1,1,1,1
1,39,3,2,3,1,1,3,1,1,3,2,0,0,2,2,0,1,1,1,0,1,2,0,2,2,0,1,1,2
3,3,40,1,2,0,1,2,1,1,3,1,3,3,4,0,0,0,1,1,1,1,0,2,2,1,0,0,1,2
1,2,1,37,2,2,3,0,3,2,2,1,1,2,2,0,1,2,0,2,1,1,0,1,0,0,1,2,1,1
0,3,2,2,35,1,2,2,0,0,3,3,3,1,1,0,2,2,1,1,0,0,1,0,1,0,2,1,1,0
2,1,0,2,1,35,2,1,2,1,3,1,3,2,2,0,0,1,1,1,2,0,1,1,0,2,0,1,0,2
1,1,1,3,2,2,36,2,2,1,1,1,2,3,3,1,1,1,1,0,0,1,2,1,0,1,0,0,1,1
2,3,2,0,2,1,2,38,2,2,1,3,1,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,0,1
0,1,1,3,0,2,2,2,37,2,2,2,1,1,3,1,1,1,1,2,2,1,0,1,1,0,1,1,1,1
1,1,1,2,0,1,1,2,2,39,1,3,3,1,2,2,1,2,1,1,1,1,1,0,1,1,2,2,0,2
0,3,3,2,3,3,1,1,2,1,39,1,4,2,3,1,0,1,0,0,1,1,0,1,1,1,0,0,1,2
3,2,1,1,3,1,1,3,2,3,1,38,2,1,1,1,1,0,1,2,1,1,0,2,1,0,1,0,1,1
3,0,3,1,3,3,2,1,1,3,4,2,39,2,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
3,0,3,2,1,2,3,1,1,1,2,1,2,37,1,1,1,1,0,0,0,0,1,1,2,2,1,1,1,2
3,2,4,2,1,2,3,1,3,2,3,1,0,1,39,0,0,1,0,1,1,1,1,1,2,1,1,0,0,1
0,2,0,0,0,0,1,2,1,2,1,1,0,1,0,38,2,3,2,0,2,1,2,2,2,2,2,3,2,2
2,0,0,1,2,0,1,2,1,1,0,1,0,1,0,2,40,2,2,1,2,2,2,1,1,3,3,3,2,2
1,1,0,2,2,1,1,1,1,2,1,0,1,1,1,3,2,38,1,1,1,1,2,2,1,1,2,2,2,1
1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,2,2,1,38,1,3,2,2,3,3,1,3,1,2,1
2,1,1,2,1,1,0,1,2,1,0,2,1,0,1,0,1,1,1,38,2,3,1,3,2,0,3,2,2,1
2,0,1,1,0,2,0,1,2,1,1,1,1,0,1,2,2,1,3,2,36,2,1,1,3,0,0,2,1,2
1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,2,1,2,3,2,38,4,3,1,3,1,1,1,1
1,2,0,0,1,1,2,1,0,1,0,0,0,1,1,2,2,2,2,1,1,4,39,2,2,1,3,4,2,0
1,0,2,1,0,1,1,1,1,0,1,2,1,1,1,2,1,2,3,3,1,3,2,39,1,0,2,1,3,1
0,2,2,0,1,0,0,0,1,1,1,1,1,2,2,2,1,1,3,2,3,1,2,1,37,3,2,1,1,0
1,2,1,0,0,2,1,1,0,1,1,0,1,2,1,2,3,1,1,0,0,3,1,0,3,39,3,2,3,3
1,0,0,1,2,0,0,1,1,2,0,1,1,1,1,2,3,2,3,3,0,1,3,2,2,3,40,2,2,0
1,1,0,2,1,1,0,1,1,2,0,0,1,1,0,3,3,2,1,2,2,1,4,1,1,2,2,37,0,1
1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,2,2,2,2,2,1,1,2,3,1,3,2,0,37,4
1,2,2,1,0,2,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,1,0,1,0,3,0,1,4,39
